Release Date,Date Added,#P,Active Params,Total Params,Model,Link,UGI üèÜ,W/10 üëç,I/10 üìö,Unruly,Internet,Stats,Writing,PolContro,Reg+MyScore üèÜ,Reg+Int üèÜ,MyScore üèÜ,ASSS‚¨áÔ∏è,SMOG‚¨ÜÔ∏è,Yule‚¨áÔ∏è,Score üèÜ,Dif,Cor,Std,Foundation
8/6/2024,8/8/2024,21,21.0,21.0,TheDrummer/Theia-21B-v1,https://huggingface.co/TheDrummer/Theia-21B-v1,35.03,9.090909091,1.05604568,45.0,15.9,22.4,48.8,43.0,0.195,0.211,0.15,4.75,6.33,1.60,0.072,2.40,-0.15,1.31,0
7/21/2024,9/6/2024,9,9.0,9.0,IlyaGusev/gemma-2-9b-it-abliterated,https://huggingface.co/IlyaGusev/gemma-2-9b-it-abliterated,34.92,6.363636364,1.641974547,65.8,30.0,34.7,41.1,3.0,0.160,0.270,0.05,7.11,9.95,1.86,0.036,2.60,-0.19,0.81,0
6/9/2024,,8,8.0,8.0,bluuwhale/L3-SthenoMaid-8B-V1,https://huggingface.co/bluuwhale/L3-SthenoMaid-8B-V1,34.83,9.090909091,1.240143967,43.3,28.3,31.3,37.8,33.3,0.141,0.183,0.10,8.15,8.06,1.87,0.051,2.73,-0.01,0.79,0
8/23/2024,8/24/2024,12,12.0,12.0,nbeerbower/Gutensuppe-mistral-nemo-12B,https://huggingface.co/nbeerbower/Gutensuppe-mistral-nemo-12B,34.82,8.181818182,2.6734773,35.0,6.5,44.0,42.5,46.0,0.158,0.211,0.10,6.73,6.70,1.60,0.137,2.40,0.11,1.26,0
8/14/2024,8/15/2024,12,12.0,12.0,MarinaraSpaghetti/NemoReRemix-12B,https://huggingface.co/MarinaraSpaghetti/NemoReRemix-12B,34.74,9.090909091,1.706470288,35.0,13.8,20.1,52.8,52.0,0.155,0.232,0.10,6.48,7.87,1.73,0.035,2.93,-0.19,1.61,0
7/25/2024,7/29/2024,12,12.0,12.0,NeverSleep/Lumimaid-v0.2-12B,https://huggingface.co/NeverSleep/Lumimaid-v0.2-12B,34.70,5.909090909,3.128692511,56.7,19.5,41.5,26.9,28.9,0.108,0.226,0.05,7.07,7.62,1.66,0.117,2.33,0.05,1.09,0
3/1/2024,,70,70.0,70.0,crestf411/daybreak-miqu-1-70b-v1.0-hf,https://huggingface.co/crestf411/daybreak-miqu-1-70b-v1.0-hf,34.69,0.909090909,4.409956324,23.3,56.8,38.8,25.2,29.3,0.186,0.408,0.20,8.45,8.26,1.35,0.666,1.40,0.47,1.81,0
11/10/2024,11/26/2024,9,9.0,9.0,zelk12/MT-Gen2-gemma-2-9B,https://huggingface.co/zelk12/MT-Gen2-gemma-2-9B,34.62,5.636363636,1.786705308,70.0,20.0,35.9,44.2,3.0,0.343,0.385,0.15,5.72,9.44,1.72,0.127,1.87,-0.08,0.82,0
2/17/2024,,70,70.0,70.0,maywell/kiqu-70b,https://huggingface.co/maywell/kiqu-70b,34.38,3.636363636,3.754101237,40.0,49.9,34.6,33.1,14.3,0.118,0.252,0.10,7.64,7.44,1.97,0.104,2.27,-0.04,1.29,0
9/7/2024,9/8/2024,12,12.0,12.0,Sao10K/MN-12B-Lyra-v4,https://huggingface.co/Sao10K/MN-12B-Lyra-v4,34.37,8.181818182,1.891858234,30.0,26.5,32.0,37.4,46.0,0.258,0.211,0.35,7.71,7.17,1.41,0.114,2.40,0.03,1.26,0
5/9/2024,,70,70.0,70.0,ValiantLabs/Llama3-70B-Fireplace,https://huggingface.co/ValiantLabs/Llama3-70B-Fireplace,34.22,2.727272727,4.944444444,37.5,40.6,37.7,26.7,28.7,0.141,0.261,0.15,8.84,8.58,1.74,0.116,1.93,-0.12,0.93,0
2/7/2024,,34,34.0,34.0,brucethemoose/Yi-34B-200K-RPMerge,https://huggingface.co/brucethemoose/Yi-34B-200K-RPMerge,34.18,8.181818182,1.839803622,39.2,18.0,27.2,41.2,45.3,0.339,0.291,0.35,6.73,7.77,1.52,0.089,2.80,0.10,1.25,0
7/9/2024,8/8/2024,8,8.0,8.0,v000000/L3-8B-Stheno-v3.2-abliterated,https://huggingface.co/v000000/L3-8B-Stheno-v3.2-abliterated,34.16,9.090909091,0.475307881,35.0,26.0,45.9,38.9,25.0,0.229,0.268,0.30,6.59,8.10,1.80,0.635,1.47,0.49,1.48,0
1/14/2024,,34,34.0,34.0,brucethemoose/Yi-34B-200K-DARE-megamerge-v8,https://huggingface.co/brucethemoose/Yi-34B-200K-DARE-megamerge-v8,34.05,7.272727273,2.427964368,46.7,13.7,26.5,38.0,45.3,0.169,0.189,0.20,7.79,7.67,1.47,0.092,2.73,0.15,0.93,0
8/15/2024,8/16/2024,8,8.0,8.0,NousResearch/Hermes-3-Llama-3.1-8B,https://huggingface.co/NousResearch/Hermes-3-Llama-3.1-8B,34.05,9.090909091,1.351255078,44.2,30.0,17.2,47.9,31.0,0.117,0.244,0.05,6.48,8.90,1.65,0.061,2.67,-0.02,0.94,0
4/27/2024,9/15/2024,70,70.0,70.0,tenyx/Llama3-TenyxChat-70B,https://huggingface.co/tenyx/Llama3-TenyxChat-70B,34.03,0.909090909,5.128603065,41.7,48.1,32.2,19.5,28.7,0.207,0.348,0.20,6.82,8.84,1.48,0.096,2.40,0.11,0.70,0
6/11/2024,,70,70.0,70.0,abacusai/Smaug-Llama-3-70B-Instruct-32K,https://huggingface.co/abacusai/Smaug-Llama-3-70B-Instruct-32K,34.01,1.818181818,5.044444444,40.0,42.0,35.7,23.7,28.7,0.267,0.345,0.25,6.27,8.90,1.67,0.036,2.67,-0.25,1.09,0
4/8/2024,,11,11.0,11.0,ABX-AI/Silver-Sun-v2-11B,https://huggingface.co/ABX-AI/Silver-Sun-v2-11B,33.94,8.181818182,1.558524901,40.0,25.0,40.0,31.4,33.3,0.133,0.200,0.10,11.38,6.59,2.27,0.000,NA,NA,NA,0
5/5/2024,,70,70.0,70.0,jukofyork/Dark-Miqu-70B,https://huggingface.co/jukofyork/Dark-Miqu-70B,33.82,2.727272727,5.117704049,35.0,31.4,31.4,41.2,30.0,0.307,0.335,0.35,7.82,8.47,1.70,0.122,2.27,0.04,1.02,0
6/9/2024,,70,70.0,70.0,FiditeNemini/Llama3-FiditeNemini-70B,https://huggingface.co/FiditeNemini/Llama3-FiditeNemini-70B,33.68,1.818181818,5.277777778,31.7,55.5,30.5,16.1,34.7,0.179,0.341,0.25,7.18,8.25,1.56,0.226,1.80,0.11,0.91,0
8/11/2024,8/17/2024,12,12.0,12.0,concedo/Mini-Magnum-Unboxed-12B,https://huggingface.co/concedo/Mini-Magnum-Unboxed-12B,33.68,8.727272727,1.254101237,51.7,5.0,27.7,32.0,52.0,0.115,0.167,0.10,6.88,5.66,2.03,0.109,2.47,0.04,1.31,0
11/22/2024,11/27/2024,9,9.0,9.0,zelk12/MT4-Gen2-gemma-2-9B,https://huggingface.co/zelk12/MT4-Gen2-gemma-2-9B,33.66,5.454545455,2.120038642,61.7,20.0,30.5,53.1,3.0,0.392,0.405,0.20,5.75,8.90,1.89,0.103,1.93,-0.14,0.85,0
7/23/2024,8/5/2024,12,12.0,12.0,cognitivecomputations/dolphin-2.9.3-mistral-nemo-12b,https://huggingface.co/cognitivecomputations/dolphin-2.9.3-mistral-nemo-12b,33.62,7.272727273,2.462025844,38.3,24.5,24.9,32.7,47.7,0.278,0.257,0.35,7.63,9.04,1.60,0.084,2.47,-0.06,1.31,0
12/26/2023,,8x7B,12.9,46.7,NousResearch/Nous-Hermes-2-Mixtral-8x7B-SFT,https://huggingface.co/NousResearch/Nous-Hermes-2-Mixtral-8x7B-SFT,33.55,5.909090909,1.832178546,69.2,19.0,25.0,35.3,19.3,0.113,0.198,0.05,8.70,10.09,1.16,0.031,2.13,-0.41,0.71,0
7/31/2024,9/2/2024,8,8.0,8.0,tannedbum/L3-Rhaenys-8B,https://huggingface.co/tannedbum/L3-Rhaenys-8B,33.42,6.363636364,2.60211895,28.3,25.0,27.2,43.6,43.0,0.126,0.199,0.10,6.58,11.31,1.66,0.063,2.67,0.00,0.88,0
8/25/2024,8/26/2024,70,70.0,70.0,Sao10K/L3.1-70B-Euryale-v2.2,https://huggingface.co/Sao10K/L3.1-70B-Euryale-v2.2,33.41,2.727272727,5.358291376,47.5,21.0,26.0,37.9,34.7,0.244,0.263,0.30,6.31,7.51,1.73,0.046,2.80,-0.15,1.48,0
7/28/2024,7/30/2024,12,12.0,12.0,nothingiisreal/Celeste-12B-V1.6,https://huggingface.co/nothingiisreal/Celeste-12B-V1.6,33.39,7.272727273,2.039803622,45.0,15.8,34.8,25.3,46.0,0.043,0.126,0.05,7.39,5.26,1.99,0.168,2.13,0.08,1.84,0
9/17/2024,9/18/2024,12,12.0,12.0,nbeerbower/mistral-nemo-gutades-12B,https://huggingface.co/nbeerbower/mistral-nemo-gutades-12B,33.28,6.363636364,3.1734773,53.3,17.1,46.6,38.1,11.3,0.147,0.221,0.10,6.70,8.97,1.76,0.238,1.87,0.16,0.93,0
7/22/2024,7/29/2024,12,12.0,12.0,BeaverAI/mistral-doryV2-12b,https://huggingface.co/BeaverAI/mistral-doryV2-12b,33.27,7.272727273,2.18655171,43.3,12.8,21.5,53.4,35.3,0.213,0.219,0.20,6.80,7.72,1.72,0.033,2.67,-0.25,1.05,0
3/1/2024,,70,70.0,70.0,sophosympatheia/Midnight-Miqu-70B-v1.0,https://huggingface.co/sophosympatheia/Midnight-Miqu-70B-v1.0,33.20,1.818181818,4.733519924,22.5,39.5,30.8,25.2,48.0,0.222,0.356,0.20,6.93,9.73,1.31,0.097,2.13,-0.04,0.80,0
5/17/2024,,70,70.0,70.0,abacusai/Smaug-Llama-3-70B-Instruct,https://huggingface.co/abacusai/Smaug-Llama-3-70B-Instruct,33.13,0.681818182,4.511111111,45.8,49.0,28.9,13.3,28.7,0.157,0.348,0.10,6.84,8.58,1.87,0.226,1.80,0.11,0.91,0
8/9/2024,9/7/2024,8,8.0,8.0,Orenguteng/Llama-3.1-8B-Lexi-Uncensored-V2,https://huggingface.co/Orenguteng/Llama-3.1-8B-Lexi-Uncensored-V2,32.88,7.272727273,2.019885044,50.0,18.6,32.6,36.9,26.3,0.075,0.146,0.05,7.71,8.48,1.86,0.103,2.73,0.20,0.94,0
7/29/2024,9/15/2024,70,70.0,70.0,VAGOsolutions/Llama-3.1-SauerkrautLM-70b-Instruct,https://huggingface.co/VAGOsolutions/Llama-3.1-SauerkrautLM-70b-Instruct,32.88,2.727272727,5.128603065,15.0,44.2,35.8,40.7,28.7,0.287,0.427,0.25,6.36,8.46,1.64,0.241,1.73,0.23,0.62,0
7/30/2024,8/1/2024,21,21.0,21.0,TheSkullery/DA-NeMona-21B,https://huggingface.co/mradermacher/DA-NeMona-21B-GGUF,32.87,9.090909091,1.558524901,45.0,0.0,31.8,48.2,39.3,0.154,0.163,0.10,3.99,6.89,1.99,0.106,2.40,0.00,1.31,0
7/17/2024,7/24/2024,9,9.0,9.0,TheDrummer/Gemmasutra-9B-v1,https://huggingface.co/TheDrummer/Gemmasutra-9B-v1,32.74,7.272727273,1.741414024,61.7,5.0,36.7,54.3,6.0,0.260,0.210,0.25,6.54,6.88,1.53,0.101,1.93,-0.02,0.57,0
9/12/2024,9/14/2024,12,12.0,12.0,nbeerbower/Lyra4-Gutenberg-12B,https://huggingface.co/nbeerbower/Lyra4-Gutenberg-12B,32.70,8.181818182,0.891858234,38.3,16.5,18.2,44.5,46.0,0.262,0.271,0.20,7.50,7.79,1.58,0.102,2.47,0.02,1.31,0
8/25/2024,8/26/2024,34,34.0,34.0,anthracite-org/magnum-v3-34b,https://huggingface.co/anthracite-org/magnum-v3-34b,32.61,6.909090909,1.817921745,56.7,23.9,25.6,44.8,12.0,0.240,0.255,0.25,6.76,7.31,1.46,0.000,NA,NA,NA,0
8/8/2024,8/20/2024,9,9.0,9.0,wzhouad/gemma-2-9b-it-WPO-HB,https://huggingface.co/wzhouad/gemma-2-9b-it-WPO-HB,32.47,5.227272727,1.605742146,70.8,20.0,30.9,37.7,3.0,0.110,0.167,0.10,8.07,11.67,1.79,0.073,2.47,-0.04,0.89,0
8/30/2024,9/5/2024,12,12.0,12.0,ParasiticRogue/Instant-RP-Noodles-12B-v1.2,https://huggingface.co/ParasiticRogue/Instant-RP-Noodles-12B-v1.2,32.41,6.363636364,2.006810634,50.8,16.5,37.1,43.3,14.3,0.177,0.260,0.10,6.41,6.93,1.54,0.117,2.47,0.08,1.25,0
9/13/2024,9/14/2024,27,27.0,27.0,anthracite-org/magnum-v3-27b-kto,https://huggingface.co/anthracite-org/magnum-v3-27b-kto,32.41,5.454545455,2.413846932,53.3,11.0,22.7,37.4,37.7,0.105,0.131,0.10,8.35,7.91,1.38,0.134,2.27,0.00,1.55,0
8/6/2024,8/16/2024,,NA,NA,gpt-4o-2024-08-06,,32.39,0.909090909,6.433333333,16.7,50.3,53.8,11.2,30.0,0.254,0.561,0.20,5.91,9.03,1.75,0.760,1.27,0.54,1.08,0
8/23/2024,8/23/2024,21,21.0,21.0,BeaverAI/Theia-21B-v2b,https://huggingface.co/BeaverAI/Theia-21B-v2b-GGUF,32.25,8.181818182,1.225191567,40.0,10.3,31.9,39.1,40.0,0.226,0.217,0.20,6.30,8.13,1.51,0.249,2.20,0.24,1.59,0
8/3/2024,8/13/2024,12,12.0,12.0,anthracite-org/magnum-12b-v2,https://huggingface.co/anthracite-org/magnum-12b-v2,32.17,7.272727273,2.153218377,25.8,5.9,25.7,43.1,60.3,0.179,0.222,0.15,6.91,7.57,1.50,0.117,2.47,0.08,1.25,0
11/13/2023,7/31/2024,34,34.0,34.0,NousResearch/Nous-Capybara-34B,https://huggingface.co/NousResearch/Nous-Capybara-34B,31.88,6.363636364,1.669636012,62.5,22.5,24.2,38.2,12.0,0.128,0.237,0.05,10.30,9.81,1.34,0.000,2.20,NA,0.00,0
4/30/2024,,8,8.0,8.0,NousResearch/Hermes-2-Pro-Llama-3-8B,https://huggingface.co/NousResearch/Hermes-2-Pro-Llama-3-8B,31.69,6.363636364,1.233474796,29.2,32.5,16.5,40.9,39.3,0.070,0.201,0.00,11.21,10.02,1.72,0.037,2.73,-0.25,1.45,0
9/23/2023,,20,20.0,20.0,Undi95/MXLewd-L2-20B,https://huggingface.co/Undi95/MXLewd-L2-20B,31.63,7.272727273,2.397395849,30.8,3.4,44.9,36.0,43.0,0.099,0.082,0.10,5.14,6.36,1.91,0.028,2.80,-0.23,0.94,0
3/29/2024,9/10/2024,7,7.0,7.0,dreamgen/opus-v1.2-7b,https://huggingface.co/dreamgen/opus-v1.2-7b,31.55,7.454545455,2.058524901,49.2,10.0,33.3,28.9,36.3,0.097,0.152,0.05,8.47,6.33,2.01,0.108,2.67,0.19,0.93,0
7/18/2024,7/24/2024,236,236.0,236.0,deepseek-ai/DeepSeek-V2-Chat-0628,https://huggingface.co/deepseek-ai/DeepSeek-V2-Chat-0628,31.55,3.636363636,4.031201294,44.2,39.1,31.6,22.4,20.3,0.143,0.259,0.15,6.79,8.84,1.69,0.041,2.20,-0.32,0.79,1
5/23/2024,,35,35.0,35.0,CohereForAI/aya-23-35B,https://huggingface.co/CohereForAI/aya-23-35B,31.48,7.272727273,2.539803622,43.3,19.5,30.6,45.9,18.0,0.083,0.100,0.10,9.06,10.77,1.63,0.000,2.20,NA,0.00,1
9/25/2024,9/28/2024,8,8.0,8.0,DreadPoor/Aurora_faustus-8B-LINEAR,https://huggingface.co/DreadPoor/Aurora_faustus-8B-LINEAR,31.40,4.545454545,3.344036228,39.2,25.6,17.5,42.4,32.3,0.191,0.291,0.10,7.80,8.10,1.34,0.075,2.60,0.04,0.88,0
9/7/2024,9/8/2024,9,9.0,9.0,anthracite-org/magnum-v3-9b-customgemma2,https://huggingface.co/anthracite-org/magnum-v3-9b-customgemma2,31.35,7.727272727,1.732178546,39.2,5.3,32.0,45.5,34.7,0.118,0.149,0.05,9.60,7.68,1.27,0.057,2.53,-0.04,0.75,0
6/19/2024,,8,8.0,8.0,v000000/L3-8B-UGI-DontPlanToEnd-test,https://huggingface.co/v000000/L3-8B-UGI-DontPlanToEnd-test,31.26,7.272727273,2.239714176,21.7,15.3,36.9,39.5,43.0,0.132,0.174,0.10,8.36,10.19,1.49,0.075,2.60,0.04,0.88,0
7/5/2024,8/5/2024,9,9.0,9.0,TheDrummer/Smegmma-Deluxe-9B-v1,https://huggingface.co/TheDrummer/Smegmma-Deluxe-9B-v1,31.09,6.363636364,2.475645738,56.7,15.0,43.3,34.5,6.0,0.195,0.233,0.15,7.32,7.12,1.64,0.132,2.33,0.08,1.09,0
8/6/2024,9/13/2024,12,12.0,12.0,inflatebot/guns-and-roses-r1,https://huggingface.co/inflatebot/guns-and-roses-r1,31.02,6.636363636,1.664062515,29.2,13.0,22.2,38.7,52.0,0.115,0.190,0.10,6.68,7.05,1.65,0.121,2.60,0.11,2.29,0
7/23/2024,7/29/2024,405,405.0,405.0,meta-llama/Meta-Llama-3.1-405B-Instruct,https://huggingface.co/meta-llama/Meta-Llama-3.1-405B-Instruct,30.96,0,4.866666667,10.0,31.0,34.8,16.1,63.0,0.151,0.326,0.15,8.49,9.40,1.57,0.390,1.60,0.27,0.97,1
12/11/2023,,8x7B,12.9,46.7,mistralai/Mixtral-8x7B-Instruct-v0.1,https://huggingface.co/mistralai/Mixtral-8x7B-Instruct-v0.1,30.92,0.909090909,4.222222222,38.3,50.0,25.4,14.6,26.3,0.339,0.401,0.40,9.05,8.05,1.49,0.022,2.80,-0.26,0.81,1
7/18/2024,7/24/2024,12,12.0,12.0,mistralai/Mistral-Nemo-Base-2407,https://huggingface.co/mistralai/Mistral-Nemo-Base-2407,30.82,8.181818182,2.214080456,40.0,7.9,22.5,30.0,53.7,0.023,0.134,0.00,14.56,6.26,2.96,0.132,2.47,0.17,2.38,1
11/5/2023,,120,120.0,120.0,alpindale/goliath-120b,https://huggingface.co/alpindale/goliath-120b,30.73,5.090909091,1.822408813,27.5,20.8,32.4,33.5,39.5,0.281,0.363,0.15,6.57,7.66,1.64,0.127,2.53,0.21,0.88,0
7/30/2024,8/1/2024,21,21.0,21.0,TheSkullery/MS-NeMona-21B,https://huggingface.co/mradermacher/MS-NeMona-21B-GGUF,30.72,6.363636364,2.564062515,45.8,5.0,45.0,36.7,21.0,0.166,0.153,0.20,7.23,6.69,1.89,0.176,2.27,0.15,1.31,0
5/27/2024,,8,8.0,8.0,mlabonne/NeuralDaredevil-8B-abliterated,https://huggingface.co/mlabonne/NeuralDaredevil-8B-abliterated,30.71,6.363636364,2.56680813,30.0,15.0,39.1,41.7,27.7,0.140,0.215,0.10,8.09,8.76,1.89,0.198,2.27,0.40,0.60,0
3/12/2024,,70,70.0,70.0,sophosympatheia/Midnight-Miqu-70B-v1.5,https://huggingface.co/sophosympatheia/Midnight-Miqu-70B-v1.5,30.51,3.636363636,4.163560137,37.5,21.9,31.6,32.8,28.7,0.235,0.290,0.20,7.06,9.07,1.54,0.097,2.13,-0.04,0.80,0
12/14/2023,11/17/2024,10.7,10.7,10.7,w4r10ck/SOLAR-10.7B-Instruct-v1.0-uncensored,https://huggingface.co/w4r10ck/SOLAR-10.7B-Instruct-v1.0-uncensored,30.50,6.909090909,2.397395849,45.0,10.0,31.8,34.3,31.5,0.129,0.182,0.05,6.78,9.17,1.36,0.045,2.73,-0.05,0.79,0
4/19/2024,,70,70.0,70.0,Dogge/llama-3-70B-instruct-uncensored,https://huggingface.co/Dogge/llama-3-70B-instruct-uncensored,30.40,0,4.444444444,32.5,35.5,30.8,21.5,31.7,0.238,0.332,0.25,6.69,7.41,1.36,0.088,2.40,0.10,0.65,0
7/27/2024,8/5/2024,32,32.0,32.0,anthracite-org/magnum-32b-v1,https://huggingface.co/anthracite-org/magnum-32b-v1,30.32,1.818181818,3.773136955,31.7,32.0,39.0,25.0,24.0,0.158,0.316,0.05,8.27,9.18,1.45,0.168,2.47,0.24,1.15,0
8/16/2024,8/16/2024,8,8.0,8.0,SicariusSicariiStuff/Dusk_Rainbow,https://huggingface.co/SicariusSicariiStuff/Dusk_Rainbow,30.21,9.090909091,1.364329488,35.0,6.6,32.0,38.1,39.3,0.179,0.154,0.20,10.17,8.52,1.64,0.081,2.73,0.09,1.01,0
7/24/2024,7/29/2024,12,12.0,12.0,intervitens/mini-magnum-12b-v1.1,https://huggingface.co/intervitens/mini-magnum-12b-v1.1,30.10,4.545454545,2.895699522,23.3,11.3,21.5,40.7,53.7,0.313,0.304,0.25,6.07,7.48,1.56,0.066,2.60,-0.08,1.25,0
2/6/2024,,11,11.0,11.0,Sao10K/Fimbulvetr-11B-v2,https://huggingface.co/Sao10K/Fimbulvetr-11B-v2,29.81,7.272727273,2.786284737,38.3,10.0,50.0,34.0,16.7,0.174,0.132,0.15,11.63,7.68,2.12,0.000,NA,NA,NA,0
9/9/2024,9/9/2024,27,27.0,27.0,nbeerbower/gemma2-gutenberg-27B,https://huggingface.co/nbeerbower/gemma2-gutenberg-27B,29.72,2.727272727,2.888888889,26.7,46.9,1.2,47.5,26.3,0.388,0.504,0.30,5.00,7.96,1.62,0.046,2.67,-0.13,0.98,0
10/27/2023,,13,13.0,13.0,NeverSleep/Echidna-13b-v0.3,https://huggingface.co/NeverSleep/Echidna-13b-v0.3,29.67,6.363636364,1.379896728,56.7,10.0,33.6,32.5,15.7,0.072,0.135,0.05,16.43,8.02,1.19,0.000,NA,NA,NA,0
7/27/2024,7/31/2024,8,8.0,8.0,NeverSleep/Lumimaid-v0.2-8B,https://huggingface.co/NeverSleep/Lumimaid-v0.2-8B,29.65,7.272727273,1.944934568,43.3,15.5,7.3,37.5,44.7,0.088,0.174,0.00,7.95,7.91,1.75,0.040,2.80,-0.20,1.40,0
3/11/2024,,35,35.0,35.0,CohereForAI/c4ai-command-r-v01,https://huggingface.co/CohereForAI/c4ai-command-r-v01,29.60,8.181818182,1.861888012,37.5,11.2,26.4,44.9,28.0,0.114,0.131,0.10,9.03,10.05,1.46,0.031,2.47,-0.41,1.51,1
7/27/2024,7/29/2024,12,12.0,12.0,BeaverAI/NeMoistral-12B-v1a,https://huggingface.co/BeaverAI/NeMoistral-12B-v1a-GGUF,29.58,7.727272727,1.451255078,40.0,6.8,26.1,37.6,37.4,0.109,0.185,0.05,8.32,8.05,1.54,0.077,2.60,-0.01,2.28,0
11/8/2024,11/17/2024,8,8.0,8.0,DreadPoor/BaeZel-8B-LINEAR,https://huggingface.co/DreadPoor/BaeZel-8B-LINEAR,29.56,5.454545455,3.215675055,44.2,10.6,22.2,48.1,22.7,0.222,0.208,0.20,7.05,6.74,1.47,0.064,2.87,0.03,1.11,0
10/12/2024,10/13/2024,8,8.0,8.0,SicariusSicariiStuff/LLAMA-3_8B_Unaligned_BETA,https://huggingface.co/SicariusSicariiStuff/LLAMA-3_8B_Unaligned_BETA,29.53,8.181818182,1.586418992,48.3,5.0,27.4,50.3,16.7,0.139,0.164,0.05,6.30,8.90,1.66,0.096,2.67,0.14,0.95,0
9/16/2024,9/22/2024,72,72.0,72.0,Qwen/Qwen2.5-72B-Instruct,https://huggingface.co/Qwen/Qwen2.5-72B-Instruct,29.45,2,3.953371975,23.3,27.7,29.3,41.9,25.0,0.312,0.367,0.15,7.33,8.56,1.63,0.178,1.80,-0.05,1.06,1
1/11/2024,,8x7B,12.9,46.7,NousResearch/Nous-Hermes-2-Mixtral-8x7B-DPO,https://huggingface.co/NousResearch/Nous-Hermes-2-Mixtral-8x7B-DPO,29.43,4.545454545,3.131201294,22.5,16.5,35.1,38.8,34.3,0.126,0.204,0.05,8.97,9.39,1.30,0.035,2.20,-0.20,0.44,0
6/10/2024,,8,8.0,8.0,Nitral-AI/Hathor_Stable-v0.2-L3-8B,https://huggingface.co/Nitral-AI/Hathor_Stable-v0.2-L3-8B,29.39,7.272727273,1.36419677,10.0,20.5,31.6,38.2,46.7,0.088,0.157,0.05,9.31,8.20,1.75,0.063,2.67,0.00,0.88,0
9/16/2024,9/18/2024,8,8.0,8.0,DreadPoor/Aspire-8B-model_stock,https://huggingface.co/DreadPoor/Aspire-8B-model_stock,29.25,5.454545455,3.386756849,30.8,21.5,28.2,46.1,19.7,0.234,0.254,0.15,6.62,7.70,1.54,0.103,2.47,0.05,1.06,0
6/21/2024,,8,8.0,8.0,crestf411/L3-8B-sunfall-v0.4-stheno-v3.2,https://huggingface.co/crestf411/L3-8B-sunfall-v0.4-stheno-v3.2,29.20,7.272727273,0.898845213,30.0,15.0,35.1,40.9,25.0,0.177,0.180,0.15,7.05,8.21,1.39,0.063,2.67,0.00,0.88,0
